89.3	81	141.1	100.1	115.1	71.8	101.6	117.4	92.3	127.6	91.7	58.7
81.7	80.2	83.6	107.8	111.3	88.2	117.9	89.4	114.5	103.2	85.1	100.3
74.5	63.4	120	101.4	110.8	73.1	101.5	92	91.3	105.5	87.1	86.3
122.3	60.6	80.1	113	114.2	86.8	115	93.5	104.4	131.8	96.8	161.8
92	65.5	115.8	72.8	101.1	103.9	61.5	100.7	60.9	108	78.6	125.7
101.7	78.8	139.4	71.5	108.1	94.6	116.9	101.4	61.8	94.1	90.5	117.3
85.2	86.9	94.7	97.1	93.1	99.8	64.9	113.1	112.2	120.6	67.9	86.9
133	56.2	91.3	139	81	100.8	76.2	73.8	89.9	108.4	102.1	147.2
64.4	105.6	102.7	122.5	92.5	69.7	78.2	99	98.3	107.8	74.7	92.4
81.9	119.7	118.3	105	79.1	130.1	105.2	56	46.7	101.3	75.4	138.7
107.4	90.9	124.4	107.3	101.9	104.8	64.9	91.6	85.2	85.4	60	128.4
90.1	90.9	101.4	117.7	97.9	112.9	82.9	100.3	66.8	119.6	122	101.9
68.7	76.5	101.7	102.2	74.8	99.4	69.1	74.7	88.8	90.5	73.8	85.3
