89.76	88	106.1	84.8	110.06	111.16	99.32	105.24	63.74	107.18	108.1	107.48
81.98	115.36	99.12	125.48	73.1	70.84	107.8	114.9	117.78	112.82	89.84	129.7
118.78	63.18	113.2	106.5	75.7	76.78	73.68	114.38	113.2	137.6	99.5	131.54
98.86	112.62	76.1	66.74	104.18	73.3	89.3	129.08	129.5	87.78	109.42	85.62
91.12	61.8	93.9	100.1	71.46	103.68	107.86	73.94	87.96	96.58	129.6	104.32
62.54	80.04	65.82	77.9	55.1	104.08	65.9	117.34	84.64	90.62	88.72	107.88
118.86	67.24	76.2	57.6	117.02	96.42	70.96	115.82	115.7	80.22	98	101.88
70.06	101.62	67.44	80.04	73.44	93.88	88.04	109.72	90.42	113.34	92.26	82.86
64.26	69.6	94.68	89.68	91.64	103.34	96.64	118.76	47.44	105.9	128.82	108.4
107.64	73.06	102.14	69.92	103.9	87.42	81.12	90.98	57.94	105.82	72	77.86
85.34	107.84	116.66	108.22	100.96	70.68	88.06	90.48	83.16	108.84	91.36	89.9
84.1	69.08	108.7	73.38	124.54	78.14	114.54	118	119.34	107.3	96.3	96.18
0	0	0	0	0	0	0	0	0	0	0	0
