131.4	134.1	79.4	66.9	85.8	74.7	103.9	114.7	85.8	91.9	100.5	86.4
83.9	103.1	65.7	65.6	75.6	100.3	100.6	85.5	72.4	97.7	120.9	84.4
121.4	125.5	100.9	125.9	84.5	78.9	97.0	85.5	130.0	95.5	77.6	82.3
40.7	101.2	100.8	78.7	49.1	84.0	116.4	62.1	98.8	98.1	97.8	115.4
108.7	161.8	113.0	66.8	81.9	62.4	120.3	142.9	99.3	96.9	95.4	71.1
78.9	112.4	110.3	58.7	74.4	62.5	131.3	124.0	107.4	119.6	88.0	68.8
97.70	112.4	56.8	49.3	126.2	58.8	67.0	87.0	79.9	115.2	93.5	84.3
109.0	123.5	81.7	71.2	77.8	66.9	105.5	115.8	101.2	72.4	84.2	114.0
78.6	98.9	140.5	60.9	74.1	57.8	120.0	97.8	121.1	76.2	86.7	93.8
85.9	155.5	106.8	64.7	68.3	67.5	76.3	105.6	60.3	65.5	80.4	78.4
118.9	111.7	86.6	93.7	88.7	33.1	79.4	72.9	64.0	121.1	103.9	53.8
96.8	94.1	81.4	67.0	84.8	61.8	105.2	112.9	71.1	107.0	76.3	69.6
99.9	93.8	67.3	76.8	93.6	93.6	88.0	95.8	74.5	116.0	57.9	112.6
